,playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,nameFull
2104,buicede01,1957.0,8.0,20.0,USA,CA,Lynwood,,,,,,,DeWayne,Buice,DeWayne Allison,170.0,72.0,R,R,4/25/1987,6/27/1989,buicd001,buicede01,DeWayne Allison Buice
2105,bukercy01,1918.0,2.0,5.0,USA,WI,Greenwood,2011.0,10.0,11.0,USA,WI,Greenwood,Cy,Buker,Cyril Owen,190.0,71.0,L,R,5/17/1945,9/23/1945,bukec101,bukercy01,Cyril Owen Buker
2106,bukerha01,1859.0,,,USA,ME,Portland,1899.0,8.0,10.0,USA,IL,Chicago,Henry,Buker,Henry Leslie,140.0,,,,1884-06-11,1884-08-04,bukeh101,bukerha01,Henry Leslie Buker
2107,bukviry01,1978.0,5.0,13.0,USA,IL,Naperville,,,,,,,Ryan,Bukvich,Ryan Adrien,250.0,74.0,R,R,7/12/2002,7/4/2008,bukvr001,bukviry01,Ryan Adrien Bukvich
2108,bulgeja01,1978.0,12.0,6.0,USA,GA,Lawrenceville,,,,,,,Jason,Bulger,Jason Patrick,215.0,76.0,R,R,8/26/2005,4/23/2011,bulgj001,bulgeja01,Jason Patrick Bulger
2109,bulkemo99,1837.0,12.0,26.0,USA,CT,East Haddam,1922.0,11.0,6.0,USA,CT,Hartford,Morgan,Bulkeley,Morgan Gardner,,,,,,,,bulkemo99,Morgan Gardner Bulkeley
2110,bullage01,1928.0,10.0,24.0,USA,MA,Lynn,2002.0,12.0,23.0,USA,MA,Peabody,George,Bullard,George Donald,165.0,69.0,R,R,9/17/1954,9/25/1954,bullg101,bullage01,George Donald Bullard
2111,bullasi01,1863.0,1.0,,United Kingdom,,,1908.0,1.0,14.0,USA,OH,Cleveland,Sim,Bullas,Simeon Edward,150.0,67.0,R,R,1884-05-02,1884-06-23,bulls101,bullasi01,Simeon Edward Bullas
2112,bullesc01,1968.0,12.0,25.0,USA,WV,Martinsburg,,,,,,,Scott,Bullett,Scott Douglas,200.0,74.0,L,L,9/3/1991,9/29/1996,bulls001,bullesc01,Scott Douglas Bullett
2113,bullibr01,1980.0,9.0,30.0,USA,IN,Indianapolis,,,,,,,Bryan,Bullington,Bryan Paul,210.0,76.0,R,R,9/18/2005,9/25/2010,bullb001,bullibr01,Bryan Paul Bullington
